id,classe,inizio,fine
20,0,25,101
20,4,123,144
20,0,241,285
20,2,291,323
20,1,769,796
20,1,812,864
20,0,1147,1198
20,1,1212,1290
20,1,1323,1412
20,1,1490,1594
20,2,1604,1635
20,3,1645,1829
20,0,1884,1921
20,2,1998,2025
20,3,2069,2184
20,0,2207,2235
20,2,2248,2279
20,3,2284,2407
20,2,2479,2509
20,3,2514,2598
20,1,2647,2698
20,1,2727,2779
20,2,2935,2969
20,0,3036,3072
20,3,3114,3179
20,4,3341,3377
20,2,3393,3426
20,3,3433,3609
20,2,3649,3682
20,3,3755,3888
20,1,3934,4000
20,1,4023,4099
20,1,4111,4163
20,1,4165,4241
20,1,4245,4299
20,4,4327,4395
20,2,4415,4444
20,1,4588,4631
20,2,4872,4908
20,1,5003,5094
20,1,5332,5419
20,1,5554,5617
20,2,5701,5731
20,3,5824,5875
20,3,5914,5995
20,2,5997,6034
20,4,6350,6411
20,2,6426,6457
20,1,6490,6553
20,2,6725,6755
20,2,6825,6855
20,3,6871,6945
20,2,7083,7115
20,3,7130,7232
20,2,7462,7488
20,2,7684,7709
20,2,7937,7971
20,2,8577,8607
20,1,8803,8900
20,1,8937,8993
20,3,8999,9075
20,2,9182,9215
20,2,9251,9286
20,1,9570,9608
20,1,9764,9828
20,1,9843,9914
20,2,9957,9984
20,0,10523,10571
20,1,10578,10646
20,2,10739,10769
20,1,10889,10944
20,1,10975,11072
20,2,11283,11315
20,4,11436,11481
20,2,11640,11666
20,4,11720,11758
20,2,12802,12832
20,2,13284,13316
20,2,13861,13889
20,1,13926,13983
20,2,14259,14285
20,2,14326,14354
20,3,14376,14460
20,2,14624,14653
20,2,14753,14781
20,4,15003,15055
20,2,15697,15727
20,4,16077,16100
