id,classe,inizio,fine
7,0,12,59
7,1,61,109
7,2,110,141
7,3,162,262
7,1,302,335
7,2,503,541
7,3,569,669
7,2,951,985
7,3,1035,1123
7,2,1392,1424
7,3,1460,1582
7,2,2165,2196
7,4,2229,2291
7,1,2536,2600
7,2,2614,2646
7,1,2700,2757
7,1,2832,2871
7,1,2998,3033
7,3,3236,3324
7,0,3510,3583
7,1,3731,3785
7,2,3818,3850
7,1,4378,4468
7,1,4490,4560
7,2,4627,4664
7,3,4687,4829
7,1,4857,4927
7,1,5031,5107
7,2,5145,5179
7,1,5326,5370
7,3,5504,5566
7,1,5573,5692
7,1,5764,5810
7,1,5842,5927
7,1,6246,6321
7,3,6331,6390
7,2,6400,6437
7,3,6447,6568
7,1,6907,6947
7,0,7235,7316
7,2,7365,7398
7,3,7409,7533
7,1,7614,7721
7,2,7793,7833
7,2,7970,8008
7,1,8246,8307
7,1,8389,8519
7,1,8558,8742
7,1,8931,9054
7,1,9196,9266
7,1,9625,9703
7,1,9837,9894
7,1,9947,10005
7,1,10114,10192
7,1,11034,11201
7,1,12086,12132
7,0,12133,12235
7,0,12336,12695
7,0,13260,13354
7,1,13469,13603
7,1,13624,13730
7,1,13743,13878
7,0,14420,14524
