id,classe,inizio,fine
18,1,32,61
18,2,135,165
18,3,169,354
18,4,444,477
18,2,527,544
18,4,544,568
18,3,571,625
18,1,625,649
18,3,649,692
18,1,692,799
18,4,865,898
18,2,898,926
18,3,945,996
18,1,1004,1022
18,3,1025,1051
18,1,1052,1086
18,2,1226,1254
18,3,1258,1349
18,4,1416,1464
18,2,1468,1498
18,1,1525,1577
18,3,1587,1662
18,2,1772,1809
18,3,1817,1851
18,1,1852,1871
18,3,1872,1925
18,4,1928,1956
18,1,1960,1981
18,1,2024,2056
18,1,2087,2153
18,2,2640,2681
18,3,2793,2870
18,1,2888,2933
18,2,2946,2981
18,3,2982,3046
18,4,3078,3111
18,1,3131,3160
18,3,3160,3177
18,1,3178,3192
18,1,3249,3317
18,4,3361,3412
18,2,3453,3491
18,3,3492,3543
18,1,3546,3578
18,3,3580,3644
18,2,3669,3708
18,3,3710,3848
18,4,3885,3935
18,2,3957,3986
18,1,4015,4046
18,3,4047,4095
18,3,4123,4157
18,4,4211,4282
18,1,4347,4410
18,2,4421,4443
18,3,4557,4605
18,2,4711,4740
18,3,4751,4785
18,1,4787,4829
18,1,4913,4977
18,2,4984,5017
18,3,5021,5148
18,1,5279,5368
18,2,5404,5427
18,1,5438,5508
18,2,5716,5757
18,3,5762,5929
18,2,6063,6100
18,3,6102,6226
18,2,6352,6392
18,3,6396,6545
18,2,6661,6686
18,3,6711,6856
18,2,6908,6952
18,0,7177,7260
18,2,7277,7307
18,3,7310,7491
18,2,7643,7688
18,2,7903,7932
18,2,9303,9336
18,2,9632,9658
18,2,10462,10487
18,0,10564,10596
18,0,10719,10765
18,1,10784,10843
18,0,11009,11096
18,0,11477,11705
18,0,11776,11996
18,4,12174,12246
18,1,12442,12474
18,1,12511,12567
18,0,12710,12762
18,1,12799,12889
