id,classe,inizio,fine
13,1,43,81
13,4,83,112
13,2,121,145
13,3,166,284
13,1,301,337
13,2,552,575
13,1,893,915
13,1,1019,1091
13,1,1278,1340
13,1,1347,1388
13,1,1391,1453
13,1,1480,1539
13,2,1542,1571
13,3,1582,1694
13,1,1826,1889
13,2,2045,2074
13,4,2171,2254
13,2,2343,2375
13,1,2531,2583
13,1,2685,2727
13,1,2735,2778
13,2,2778,2797
13,2,3003,3029
13,3,3035,3159
13,4,3339,3399
13,2,3423,3446
13,3,3459,3570
13,2,3633,3657
13,4,3853,3880
13,2,3928,3959
13,1,4168,4261
13,1,4280,4339
13,1,4466,4585
13,2,4725,4758
13,2,4989,5021
13,3,5027,5135
13,2,5702,5729
13,1,5895,5955
13,1,5965,6035
13,2,6069,6094
13,2,6937,6962
13,2,7186,7218
13,2,7400,7427
13,2,7633,7658
13,1,7821,7857
13,2,7862,7886
13,3,7909,7980
13,2,8050,8075
13,3,8083,8184
13,1,8202,8252
13,2,8291,8322
13,2,8510,8539
13,2,8779,8802
13,2,12556,12589
13,2,12900,12925
13,2,13349,13373
13,2,13643,13665
13,2,13770,13792
13,2,14114,14142
13,2,14295,14323
13,2,14569,14599
13,3,14611,14736
13,2,14806,14832
13,2,15039,15065
13,2,15361,15389
13,0,16871,17147
13,0,17259,17459
13,0,17579,17677
13,4,17879,17931
13,1,19236,19352
13,1,19446,19544
13,0,19656,19882
13,0,20417,20512
13,4,20740,20782
13,1,21306,21474
13,0,21777,21931
13,4,21972,22015
13,4,22613,22656
13,4,22687,22760
13,4,22832,22876
13,4,22997,23138
